country,region,bbox
Argentina,Ciudad de Buenos Aires,"-34.774928162704555,-58.56053217432037,-34.521579685054405,-58.31503093443007"
Argentina,Córdoba,"-35.00210092521752,-65.76727210112654,-29.424301853147995,-61.732970547153"
Argentina,Corrientes,"-30.747331216999925,-59.6727862210073,-27.257043151999937,-55.62304188927175"
Argentina,Entre Ríos,"-34.04898080751826,-60.76923092266895,-30.151440931453806,-57.79499466999991"
Argentina,Formosa,"-26.885811609526552,-62.34135696699991,-22.472261047999993,-57.55692134599994"
Argentina,Jujuy,"-24.613949477086692,-67.2513287399999,-21.786937763999973,-64.15876563202829"
Argentina,La Pampa,"-39.32576466160987,-68.29319027421178,-35.000498955662295,-63.384058397077354"
Argentina,La Rioja,"-31.93381275795241,-69.65404516415299,-27.73577442784756,-65.40189388729306"
Argentina,Mendoza,"-37.55703541385327,-70.57889135799991,-31.955671889146345,-66.50513403990402"
Argentina,Misiones,"-28.14773813899994,-56.019055752321094,-25.49456675199987,-53.66155188041495"
Argentina,Neuquén,"-41.09511402789008,-71.95557735299985,-36.12940211811326,-68.01041683626795"
Argentina,Río Negro,"-42.01067473799992,-71.92596675699991,-37.55703541385327,-62.80162512919634"
Argentina,Salta,"-26.388569838227454,-68.5785741789999,-21.993230081999926,-62.33438086638387"
Argentina,San Juan,"-32.33657887121791,-70.59137121599989,-28.40099354831358,-66.73052079919552"
Argentina,San Luis,"-36.00131641941721,-67.39590654155364,-31.846841322968658,-64.87412248356577"
Argentina,Santa Cruz,"-52.39074851799995,-73.58803584899991,-45.99941415793705,-65.71301381699993"
Argentina,Santa Fe,"-34.38213876669073,-62.85380652465136,-27.999324232926995,-58.86474768735587"
Argentina,Santiago del Estero,"-30.156608574426173,-65.18066707972196,-25.579885348530013,-61.709328579250496"
Argentina,Tierra del Fuego,"-55.05201588299991,-68.65413543186631,-52.639571698869695,-63.81212317599994"
Argentina,Tucumán,"-28.05435963319053,-66.19463619670313,-26.07458383597526,-64.4827768618627"
Armenia,Aragatsotn,"40.18517019275015,43.59421716300011,40.74288808891413,44.55328087711075"
Armenia,Ararat,"39.702797343,44.351226027359246,40.1649905463766,45.109525994928674"
Armenia,Armavir,"40.00861847,43.65250817900005,40.284931545754205,44.44047122636596"
Armenia,Erevan,"40.05409292354955,44.41840538869769,40.22917267507887,44.647590366302325"
Armenia,Gegharkunik,"39.865784003528915,44.78804690883777,40.733793036419456,45.98177168800004"
Armenia,Kotayk,"40.08329010715272,44.40832848517141,40.699686591363104,45.029789259566655"
Armenia,Lori,"40.661497708052764,43.96608157740286,41.230042623000074,44.93868370858627"
Armenia,Shirak,"40.40931671769232,43.43629398600007,41.16453733800007,44.1996073747805"
Armenia,Syunik,"38.86370127400001,45.70122114404052,39.85123708812108,46.602612346000114"
Armenia,Tavush,"40.63764903457525,44.751873407131995,41.290452373000065,45.600968058000035"
Armenia,Vayots Dzor,"39.48751332600001,45.07499903857473,39.99905752238675,45.809121535130714"
Aruba,Aruba,"12.417669989000046,-70.06240800699993,12.632147528000075,-69.87682044199994"
Ashmore and Cartier Islands,Ashmore and Cartier Islands,"-12.438571872999887,123.57504316500001,-12.426608981999891,123.59774824300007"
Australia,Australian Capital Territory,"-35.91961598109265,148.7694519388558,-35.13950855917267,149.40440026326144"
Australia,Jervis Bay Territory,"-35.19939544099992,150.61304772200003,-35.12044150187381,150.770355665"
Australia,Lord Howe Island,"-31.593357028999947,159.04444420700008,-31.51921965899993,159.1064559250001"
Australia,Macquarie Island,"-54.75042083099993,158.8320418630001,-54.46933359199994,158.963226759"
Australia,New South Wales,"-37.51029185998135,141.00010704970055,-28.149265231999948,153.63062584700003"
Australia,Northern Territory,"-25.999911390798047,129.00011587538006,-10.968357028999947,138.0001868021791"
